Event	ID	Name			Wwise Object Path	Notes
	128625444	Door_Close			\Default Work Unit\Door_Close	
	280670697	Lightswitch_Off			\Default Work Unit\Lightswitch_Off	
	430734518	Gonz_CaughtKid			\Default Work Unit\Gonz_CaughtKid	
	509177165	Toaster_WaterImpact			\Default Work Unit\Toaster_WaterImpact	
	535830432	Door_Open			\Default Work Unit\Door_Open	
	536084281	Extinctor_Use			\Default Work Unit\Extinctor_Use	
	663907016	Gonzuela_Leads			\Default Work Unit\Gonzuela_Leads	
	743584214	Oven_Stop			\Default Work Unit\Oven_Stop	
	763008841	Woodblock_Break			\Default Work Unit\Woodblock_Break	
	797412272	Dishes_Start			\Default Work Unit\Dishes_Start	
	1009363664	Picture_Replace			\Default Work Unit\Picture_Replace	
	1047931541	Toaster_Drop			\Default Work Unit\Toaster_Drop	
	1205450473	Kids_Crying			\Default Work Unit\Kids_Crying	
	1360101095	Bbq_Start			\Default Work Unit\Bbq_Start	
	1506460941	Bbq_Stop			\Default Work Unit\Bbq_Stop	
	1598914998	Bookshelf_Break			\Default Work Unit\Bookshelf_Break	
	1675969863	Kids_Lead			\Default Work Unit\Kids_Lead	
	1782344986	Toaster_Pickup			\Default Work Unit\Toaster_Pickup	
	2174854684	Dishes_Stop			\Default Work Unit\Dishes_Stop	
	2253880733	Lightswitch_On			\Default Work Unit\Lightswitch_On	
	2575070678	Oven_Start			\Default Work Unit\Oven_Start	
	2607556080	Menu			\Default Work Unit\Menu	
	2983120780	Woodblock_Replace			\Default Work Unit\Woodblock_Replace	
	3311659667	Bookshelf_Replace			\Default Work Unit\Bookshelf_Replace	
	3489924218	Dishes_Impact			\Default Work Unit\Dishes_Impact	
	3683557997	Oven_Stretch			\Default Work Unit\Oven_Stretch	
	3873705293	Picture_Break			\Default Work Unit\Picture_Break	
	4058101365	Gamestart			\Default Work Unit\Gamestart	
	4264815106	EndGame			\Default Work Unit\EndGame	

State Group	ID	Name			Wwise Object Path	Notes
	2769448222	MUS_Progression			\Default Work Unit\MUS_Progression	

State	ID	Name	State Group			Notes
	0	None	MUS_Progression			
	2053143045	MUS_GonzuelaLeads	MUS_Progression			
	3515910163	MUS_KidsLeads	MUS_Progression			

Custom State	ID	Name	State Group	Owner		Notes
	813347207	MUS_GonzuelaLeads	MUS_Progression	\Interactive Music Hierarchy\Default Work Unit\MUS\PIX18_Mus_BaseLayer\PIX18_Mus_KidsLayer		
	1039849680	MUS_KidsLeads	MUS_Progression	\Interactive Music Hierarchy\Default Work Unit\MUS\PIX18_Mus_BaseLayer\PIX18_Mus_GonzuelaLayer		

Game Parameter	ID	Name			Wwise Object Path	Notes
	1064063191	MUS_Stigners_Sidechain			\Default Work Unit\MUS_Stigners_Sidechain	

Trigger	ID	Name			Wwise Object Path	Notes
	3675480228	KidsLead			\Default Work Unit\KidsLead	
	3755775617	GonzLead			\Default Work Unit\GonzLead	

Effect plug-ins	ID	Name	Type				Notes
	200492606	Wwise Meter (Custom)	Wwise Meter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	64366828	VO_Baby_Hit_03	Y:\Desktop\Pixel2018Game\GameTraining_WwiseProject\.cache\Mac\SFX\VO_Baby_Hit_03_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\VO\Kids\VO_Kids_Crying\VO_Baby_Hit_03		808784
	81588674	SFX_Bbq_Loop	Y:\Desktop\Pixel2018Game\GameTraining_WwiseProject\.cache\Mac\SFX\SFX_Bbq_Loop_F17FB28C.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\BBq\Bbq_Loop\SFX_Bbq_Loop		705664
	86822573	SFX_Door_Open_L3_02	Y:\Desktop\Pixel2018Game\GameTraining_WwiseProject\.cache\Mac\SFX\SFX_Door_Open_L3_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Door\Door_Open\Door_OpenL3\SFX_Door_Open_L3_02		350092
	109568395	SFX_Bbq_Loop	Y:\Desktop\Pixel2018Game\GameTraining_WwiseProject\.cache\Mac\SFX\SFX_Bbq_Loop_572D7801.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\BBq\Bbq_Loop\Bbqstart\SFX_Bbq_Loop		705664
	109642826	VO_Gonz_CaughtKid_01	Y:\Desktop\Pixel2018Game\GameTraining_WwiseProject\.cache\Mac\SFX\VO_Gonz_CaughtKid_01_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\VO\Gonz\Gonz_CaughtKid\VO_Gonz_CaughtKid_01		231008
	113315977	PIX18_Mus_KidsLayer	Y:\Desktop\Pixel2018Game\GameTraining_WwiseProject\.cache\Mac\SFX\PIX18_Mus_KidsLayer_F17FB28C.wem		\Interactive Music Hierarchy\Default Work Unit\MUS\PIX18_Mus_BaseLayer\PIX18_Mus_KidsLayer		14329172
	116155236	SFX_Door_Close_L1_02	Y:\Desktop\Pixel2018Game\GameTraining_WwiseProject\.cache\Mac\SFX\SFX_Door_Close_L1_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Door\Door_Close\Door_CloseL1\SFX_Door_Close_L1_02		236136
	127725770	SFX_Door_Close_L2_02	Y:\Desktop\Pixel2018Game\GameTraining_WwiseProject\.cache\Mac\SFX\SFX_Door_Close_L2_02_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Door\Door_Close\Door_CLoseL2\SFX_Door_Close_L2_02		236136
	139926779	SFX_Picture_Break	Y:\Desktop\Pixel2018Game\GameTraining_WwiseProject\.cache\Mac\SFX\SFX_Picture_Break_1C9C67B2.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Picture\SFX_Picture_Break		126828
